Algorithm,Log Source,Log,Window Sizes,Alpha,Min Required Windows,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance Multi Window,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,100 200 300 400 500 600,0.5,100 200 300,2,"[924, 1954]","[999, 1999]",1.0,60.0,02:41:37,9697.237204828998,3.233490231686895
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise5_1000_cp,100 200 300 400 500 600,0.5,100 200 300,2,[442],[499],1.0,57.0,00:00:15,15.674020448990632,0.015674020448990633
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise5_1000_cd,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:11,11.478011671017157,0.011478011671017157
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_cp,100 200 300 400 500 600,0.5,100 200 300,2,[442],[499],1.0,57.0,00:00:20,20.42157675200724,0.02042157675200724
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise20_1000_cf,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:14,14.429004550998798,0.014429004550998797
Earth Mover's Distance Multi Window,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,100 200 300 400 500 600,0.5,100 200 300,2,"[1774, 1002]","[999, 1999]",0.5,3.0,03:37:06,13026.569082985021,4.343637573519514
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_cf,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:07,7.9720604959875345,0.007972060495987535
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise5_1000_pl,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:08,8.684689173998777,0.008684689173998776
Earth Mover's Distance Multi Window,Ostovar,Atomic_Substitute_output_Substitute,100 200 300 400 500 600,0.5,100 200 300,2,"[946, 1942]","[999, 1999]",1.0,55.0,05:32:17,19937.276311619004,6.647974762127044
Earth Mover's Distance Multi Window,Ostovar,Nested_OIR_output_OIR_2,100 200 300 400 500 600,0.5,100 200 300,2,"[950, 1928]","[999, 1999]",1.0,60.0,05:41:09,20469.923887351004,6.825583156835947
Earth Mover's Distance Multi Window,Ostovar,Composite_ROI_output_ROI_2,100 200 300 400 500 600,0.5,100 200 300,2,"[950, 1940]","[999, 1999]",1.0,54.0,05:29:33,19773.858912785014,6.593484132305774
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise10_1000_cf,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:12,12.227624235994881,0.012227624235994881
Earth Mover's Distance Multi Window,Ostovar,Composite_ORI_output_ORI_5,100 200 300 400 500 600,0.5,100 200 300,2,"[932, 1932]","[999, 1999]",1.0,67.0,06:34:43,23683.823926706013,7.897240389031682
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise5_1000_OIR,100 200 300 400 500 600,0.5,100 200 300,2,[446],[499],1.0,53.0,00:00:53,53.139799650001805,0.053139799650001804
Earth Mover's Distance Multi Window,Ostovar,Composite_ROI_output_ROI_5,100 200 300 400 500 600,0.5,100 200 300,2,"[950, 1940]","[999, 1999]",1.0,54.0,03:01:12,10872.361236884986,3.625328855246744
Earth Mover's Distance Multi Window,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,100 200 300 400 500 600,0.5,100 200 300,2,"[952, 1956]","[999, 1999]",1.0,45.0,05:40:00,20400.101332485996,6.802301211232409
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise5_1000_cb,100 200 300 400 500 600,0.5,100 200 300,2,[448],[499],1.0,51.0,00:00:16,16.177078667009482,0.016177078667009483
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise20_1000_pm,100 200 300 400 500 600,0.5,100 200 300,2,[414],[499],1.0,85.0,00:00:16,16.26378486599424,0.016263784865994238
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise10_1000_sw,100 200 300 400 500 600,0.5,100 200 300,2,[446],[499],1.0,53.0,00:00:13,13.397634244000074,0.013397634244000074
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise0_1000_RIO,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:09,9.870498736010632,0.009870498736010631
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_rp,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:14,14.755865567014553,0.014755865567014553
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_OIR,100 200 300 400 500 600,0.5,100 200 300,2,[446],[499],1.0,53.0,00:00:57,57.37729231402045,0.05737729231402045
Earth Mover's Distance Multi Window,Ostovar,Atomic_Skip_output_Skip,100 200 300 400 500 600,0.5,100 200 300,2,"[1492, 964, 1952]","[999, 1999]",0.8,41.0,03:49:27,13767.93858604398,4.590843143062347
Earth Mover's Distance Multi Window,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,100 200 300 400 500 600,0.5,100 200 300,2,"[1806, 946]","[999, 1999]",1.0,123.0,02:27:14,8834.955096898018,2.9459670213064415
Earth Mover's Distance Multi Window,Ceravolo,sudden_trace_noise15_1000_pm,100 200 300 400 500 600,0.5,100 200 300,2,[],[499],,,00:00:14,14.827193713979796,0.014827193713979796
Earth Mover's Distance Multi Window,Ostovar,Nested_ROI_output_ROI_2,100 200 300 400 500 600,0.5,100 200 300,2,"[1938, 954]","[999, 1999]",1.0,53.0,02:42:40,9760.243263326003,3.254499254193399
